2025-03-09 01:52:21.907 | INFO     | __main__:<module>:14 - splitting data...
2025-03-09 01:52:22.125 | INFO     | __main__:<module>:18 - training model...
2025-03-09 01:52:22.595 | INFO     | __main__:<module>:22 - evaluating model...
2025-03-09 01:52:34.552 | INFO     | __main__:<module>:10 - loading data...
2025-03-09 01:52:35.113 | INFO     | __main__:<module>:14 - splitting data...
2025-03-09 01:52:35.318 | INFO     | __main__:<module>:18 - training model...
2025-03-09 01:52:35.658 | INFO     | __main__:<module>:22 - evaluating model...
2025-03-09 01:52:54.775 | INFO     | __main__:<module>:10 - loading data...
2025-03-09 01:52:55.284 | INFO     | __main__:<module>:16 - splitting data...
2025-03-09 01:52:55.496 | INFO     | __main__:<module>:20 - training model...
2025-03-09 01:52:55.970 | INFO     | __main__:<module>:24 - evaluating model...
2025-03-09 01:53:26.358 | INFO     | __main__:<module>:10 - loading data...
2025-03-09 01:53:27.214 | INFO     | __main__:<module>:16 - splitting data...
2025-03-09 01:53:27.445 | INFO     | __main__:<module>:20 - training model...
2025-03-09 01:53:27.827 | INFO     | __main__:<module>:24 - evaluating model...
2025-03-09 01:53:54.921 | INFO     | __main__:<module>:10 - loading data...
2025-03-09 01:54:25.145 | INFO     | __main__:<module>:10 - loading data...
2025-03-09 01:54:25.969 | INFO     | __main__:<module>:16 - splitting data...
2025-03-09 01:54:26.180 | INFO     | __main__:<module>:20 - training model...
2025-03-09 01:54:26.653 | INFO     | __main__:<module>:24 - evaluating model...
2025-03-09 01:54:42.353 | INFO     | __main__:<module>:10 - loading data...
2025-03-09 01:54:42.889 | INFO     | __main__:<module>:16 - splitting data...
2025-03-09 01:54:43.080 | INFO     | __main__:<module>:20 - training model...
2025-03-09 01:54:43.539 | INFO     | __main__:<module>:24 - evaluating model...
2025-03-09 01:55:54.553 | INFO     | __main__:<module>:10 - loading data...
2025-03-09 01:55:55.393 | INFO     | __main__:<module>:16 - splitting data...
2025-03-09 01:55:55.590 | INFO     | __main__:<module>:20 - training model...
2025-03-09 01:55:55.978 | INFO     | __main__:<module>:24 - evaluating model...
2025-03-09 01:56:09.205 | INFO     | __main__:<module>:10 - loading data...
2025-03-09 01:56:09.793 | INFO     | __main__:<module>:16 - splitting data...
2025-03-09 01:56:10.023 | INFO     | __main__:<module>:20 - training model...
2025-03-09 01:56:10.408 | INFO     | __main__:<module>:24 - evaluating model...
2025-03-09 01:56:24.215 | INFO     | __main__:<module>:10 - loading data...
2025-03-09 01:56:24.789 | INFO     | __main__:<module>:16 - splitting data...
2025-03-09 01:56:24.995 | INFO     | __main__:<module>:20 - training model...
2025-03-09 01:56:25.375 | INFO     | __main__:<module>:24 - evaluating model...
2025-03-09 01:56:34.197 | INFO     | __main__:<module>:10 - loading data...
2025-03-09 01:56:34.821 | INFO     | __main__:<module>:16 - splitting data...
2025-03-09 01:56:35.036 | INFO     | __main__:<module>:20 - training model...
2025-03-09 01:56:35.401 | INFO     | __main__:<module>:24 - evaluating model...
2025-03-09 01:57:57.550 | INFO     | __main__:<module>:10 - loading data...
2025-03-09 01:58:09.181 | INFO     | __main__:<module>:10 - loading data...
2025-03-09 02:01:00.774 | INFO     | __main__:<module>:10 - loading data...
2025-03-09 02:01:22.780 | INFO     | __main__:<module>:10 - loading data...
2025-03-09 02:01:50.822 | INFO     | __main__:<module>:10 - loading data...
2025-03-09 02:01:55.226 | INFO     | __main__:<module>:16 - splitting data...
2025-03-09 02:02:05.010 | INFO     | __main__:<module>:20 - training model...
2025-03-09 02:02:52.210 | INFO     | __main__:<module>:24 - evaluating model...
2025-03-09 02:03:13.356 | INFO     | __main__:<module>:10 - loading data...
2025-03-09 02:03:17.822 | INFO     | __main__:<module>:16 - splitting data...
2025-03-09 02:03:21.490 | INFO     | __main__:<module>:20 - training model...
2025-03-09 02:04:05.174 | INFO     | __main__:<module>:24 - evaluating model...
2025-03-09 16:54:18.302 | INFO     | __main__:<module>:10 - loading data...
2025-03-09 16:54:22.924 | INFO     | __main__:<module>:16 - splitting data...
2025-03-09 16:54:25.161 | INFO     | __main__:<module>:20 - training model...
2025-03-09 16:54:48.175 | INFO     | __main__:<module>:25 - evaluating model...
2025-03-09 16:55:08.153 | INFO     | __main__:<module>:10 - loading data...
2025-03-09 16:55:16.627 | INFO     | __main__:<module>:16 - splitting data...
2025-03-09 16:55:38.422 | INFO     | __main__:<module>:20 - training model...
2025-03-09 16:56:47.007 | INFO     | __main__:<module>:10 - loading data...
2025-03-09 16:56:51.880 | INFO     | __main__:<module>:16 - splitting data...
2025-03-09 16:56:58.202 | INFO     | __main__:<module>:20 - training model...
2025-03-09 17:00:09.128 | INFO     | __main__:<module>:10 - loading data...
2025-03-09 17:00:13.729 | INFO     | __main__:<module>:16 - splitting data...
2025-03-09 17:00:16.796 | INFO     | __main__:<module>:20 - training model...
2025-03-09 17:00:50.313 | INFO     | __main__:<module>:10 - loading data...
2025-03-09 17:00:58.821 | INFO     | __main__:<module>:16 - splitting data...
2025-03-09 17:01:10.815 | INFO     | __main__:<module>:20 - training model...
2025-03-09 17:01:31.056 | INFO     | __main__:<module>:25 - evaluating model...
